INSERT INTO Staff VALUES ('S0001', 'Sowmya', 'Pujari', '1065', 'Polling Agent', '1000', 'B1C001');
INSERT INTO Staff VALUES ('S0476', 'Sudha', 'Holla', '1669', 'Security Agent', '750', 'B3C048');
INSERT INTO Staff VALUES ('S0477', 'Joseph', 'Namnaik', '1811', 'Polling Agent', '1000', 'B4C048');
INSERT INTO Staff VALUES ('S0478', 'Aayushi', 'Ramesh', '2178', 'Security Agent', '750', 'B5C048');
INSERT INTO Staff VALUES ('S0479', 'Yuvraj', 'Vernekar', '1046', 'Polling Agent', '1000', 'B1C049');
INSERT INTO Staff VALUES ('S0480', 'Rohan', 'Raval', '1483', 'Security Agent', '750', 'B2C049');
INSERT INTO Staff VALUES ('S0481', 'Kahaan', 'Thampy', '1554', 'Polling Agent', '1000', 'B3C049');
INSERT INTO Staff VALUES ('S0482', 'Divyesh', 'Pai', '1616', 'Security Agent', '750', 'B4C049');
INSERT INTO Staff VALUES ('S0483', 'Abhijith', 'Nagane', '1623', 'Polling Agent', '1000', 'B5C049');
INSERT INTO Staff VALUES ('S0484', 'Rahul', 'Singh', '1629', 'Security Agent', '750', 'B1C049');
INSERT INTO Staff VALUES ('S0485', 'Akshatha', 'Banerjee', '1648', 'Polling Agent', '1000', 'B2C049');
INSERT INTO Staff VALUES ('S0486', 'Hrithik', 'Naik', '1815', 'Security Agent', '750', 'B3C049');
INSERT INTO Staff VALUES ('S0487', 'Joseph', 'Nair', '1965', 'Polling Agent', '1000', 'B4C049');
INSERT INTO Staff VALUES ('S0488', 'Vaibhavi', 'Padmanabha', '2004', 'Security Agent', '750', 'B5C049');
INSERT INTO Staff VALUES ('S0489', 'Ananth', 'Shetty', '2520', 'Polling Agent', '1000', 'B1C050');
INSERT INTO Staff VALUES ('S0490', 'Abeer', 'Hiremath', '2552', 'Security Agent', '750', 'B2C050');
INSERT INTO Staff VALUES ('S0491', 'Ishita', 'Holla', '2583', 'Polling Agent', '1000', 'B3C050');
INSERT INTO Staff VALUES ('S0492', 'Maanas', 'Nair', '2623', 'Security Agent', '750', 'B4C050');
INSERT INTO Staff VALUES ('S0493', 'Veena', 'Tipparti', '2692', 'Polling Agent', '1000', 'B5C050');
INSERT INTO Staff VALUES ('S0494', 'Advaith', 'Moolya', '2903', 'Security Agent', '750', 'B1C050');
INSERT INTO Staff VALUES ('S0495', 'Rathi', 'Jain', '2918', 'Polling Agent', '1000', 'B2C050');
INSERT INTO Staff VALUES ('S0496', 'Pallavi', 'Saldanha', '2929', 'Security Agent', '750', 'B3C050');
INSERT INTO Staff VALUES ('S0497', 'Manthan', 'Saha', '3179', 'Polling Agent', '1000', 'B4C050');
INSERT INTO Staff VALUES ('S0498', 'Rushil', 'Anchan', '3230', 'Security Agent', '750', 'B5C050');
INSERT INTO Staff VALUES ('S0499', 'Raghav', 'Singh', '2827', 'Polling Agent', '1000', 'B1C051');
INSERT INTO Staff VALUES ('S0500', 'Nirav', 'Shetty', '3276', 'Security Agent', '750', 'B2C051');
INSERT INTO Staff VALUES ('S0501', 'Prakruthi', 'Nand', '3475', 'Polling Agent', '1000', 'B3C051');
INSERT INTO Staff VALUES ('S0502', 'Rashmitha', 'Bhat', '3812', 'Security Agent', '750', 'B4C051');
INSERT INTO Staff VALUES ('S0503', 'Reshma', 'Keshri', '3972', 'Polling Agent', '1000', 'B5C051');
INSERT INTO Staff VALUES ('S0504', 'Hetal', 'Bhat', '4656', 'Security Agent', '750', 'B1C051');
INSERT INTO Staff VALUES ('S0505', 'Ashwini', 'Shet', '4670', 'Polling Agent', '1000', 'B2C051');
INSERT INTO Staff VALUES ('S0506', 'Naveen', 'Namnaik', '5280', 'Security Agent', '750', 'B3C051');
INSERT INTO Staff VALUES ('S0507', 'Teerth', 'Nagane', '5870', 'Polling Agent', '1000', 'B4C051');
INSERT INTO Staff VALUES ('S0508', 'Siddharth', 'Shah', '6332', 'Security Agent', '750', 'B5C051');
INSERT INTO Staff VALUES ('S0509', 'Deepika', 'Shroff', '3102', 'Polling Agent', '1000', 'B1C052');
INSERT INTO Staff VALUES ('S0510', 'Devansh', 'Holla', '3547', 'Security Agent', '750', 'B2C052');
INSERT INTO Staff VALUES ('S0511', 'Darpan', 'Kulkarni', '3575', 'Polling Agent', '1000', 'B3C052');
INSERT INTO Staff VALUES ('S0512', 'Sita', 'Keshri', '4227', 'Security Agent', '750', 'B4C052');
INSERT INTO Staff VALUES ('S0513', 'Rushali', 'Shetty', '4495', 'Polling Agent', '1000', 'B5C052');
INSERT INTO Staff VALUES ('S0514', 'Prisha', 'Saldanha', '4849', 'Security Agent', '750', 'B1C052');
INSERT INTO Staff VALUES ('S0515', 'Shubhangi', 'Nair', '4925', 'Polling Agent', '1000', 'B2C052');
INSERT INTO Staff VALUES ('S0516', 'Vibha', 'Saldanha', '5157', 'Security Agent', '750', 'B3C052');
INSERT INTO Staff VALUES ('S0517', 'Abeer', 'Shayana', '5268', 'Polling Agent', '1000', 'B4C052');
INSERT INTO Staff VALUES ('S0518', 'Ishaan', 'Chatterjee', '5524', 'Security Agent', '750', 'B5C052');
INSERT INTO Staff VALUES ('S0519', 'Navya', 'Kumar', '2139', 'Polling Agent', '1000', 'B1C053');
INSERT INTO Staff VALUES ('S0520', 'Arpitha', 'Saldanha', '2590', 'Security Agent', '750', 'B2C053');
INSERT INTO Staff VALUES ('S0521', 'Zayan', 'Holla', '2756', 'Polling Agent', '1000', 'B3C053');
INSERT INTO Staff VALUES ('S0522', 'Jatin', 'Raval', '3385', 'Security Agent', '750', 'B4C053');
INSERT INTO Staff VALUES ('S0523', 'Utkarsh', 'Rajesh', '3569', 'Polling Agent', '1000', 'B5C053');
INSERT INTO Staff VALUES ('S0524', 'Harshil', 'Banerjee', '3598', 'Security Agent', '750', 'B1C053');
INSERT INTO Staff VALUES ('S0525', 'Veer', 'Bhoja', '4136', 'Polling Agent', '1000', 'B2C053');
INSERT INTO Staff VALUES ('S0526', 'Namratha', 'Saha', '4187', 'Security Agent', '750', 'B3C053');
INSERT INTO Staff VALUES ('S0527', 'Sonika', 'Mardhekar', '4251', 'Polling Agent', '1000', 'B4C053');
INSERT INTO Staff VALUES ('S0528', 'Sharanya', 'Rajesh', '4947', 'Security Agent', '750', 'B5C053');
INSERT INTO Staff VALUES ('S0529', 'Aadi', 'Bhardwaj', '1899', 'Polling Agent', '1000', 'B1C054');
INSERT INTO Staff VALUES ('S0530', 'Manisha', 'Andrade', '1912', 'Security Agent', '750', 'B2C054');
INSERT INTO Staff VALUES ('S0531', 'Atiksh', 'Gatty', '1937', 'Polling Agent', '1000', 'B3C054');
INSERT INTO Staff VALUES ('S0532', 'Harsh', 'Fernandes', '2049', 'Security Agent', '750', 'B4C054');
INSERT INTO Staff VALUES ('S0533', 'Kabir', 'Bharanya', '2062', 'Polling Agent', '1000', 'B5C054');
INSERT INTO Staff VALUES ('S0534', 'Asha', 'Bhoja', '2084', 'Security Agent', '750', 'B1C054');
INSERT INTO Staff VALUES ('S0535', 'Dhanush', 'Shetty', '2089', 'Polling Agent', '1000', 'B2C054');
INSERT INTO Staff VALUES ('S0536', 'Savitha', 'Prabhu', '2230', 'Security Agent', '750', 'B3C054');
INSERT INTO Staff VALUES ('S0537', 'Nakul', 'Nayak', '2331', 'Polling Agent', '1000', 'B4C054');
INSERT INTO Staff VALUES ('S0538', 'Anitha', 'Kini', '2516', 'Security Agent', '750', 'B5C054');
INSERT INTO Staff VALUES ('S0539', 'Aishwarya', 'Adiga', '3091', 'Polling Agent', '1000', 'B1C055');
INSERT INTO Staff VALUES ('S0540', 'Kimaya', 'Andrade', '3172', 'Security Agent', '750', 'B2C055');
INSERT INTO Staff VALUES ('S0541', 'Shona', 'Bhat', '3457', 'Polling Agent', '1000', 'B3C055');
INSERT INTO Staff VALUES ('S0542', 'Lavanya', 'Kumar', '4577', 'Security Agent', '750', 'B4C055');
INSERT INTO Staff VALUES ('S0543', 'Samarth', 'Nair', '4758', 'Polling Agent', '1000', 'B5C055');
INSERT INTO Staff VALUES ('S0544', 'Soumyashree', 'Kulkarni', '4831', 'Security Agent', '750', 'B1C055');
INSERT INTO Staff VALUES ('S0545', 'Navya', 'Jain', '5366', 'Polling Agent', '1000', 'B2C055');
INSERT INTO Staff VALUES ('S0546', 'Vivek', 'Nagane', '5664', 'Security Agent', '750', 'B3C055');
INSERT INTO Staff VALUES ('S0547', 'Viraj', 'Shukla', '5787', 'Polling Agent', '1000', 'B4C055');
INSERT INTO Staff VALUES ('S0548', 'Shubhangi', 'Salian', '6627', 'Security Agent', '750', 'B5C055');
INSERT INTO Staff VALUES ('S0549', 'Shruti', 'Rajesh', '4074', 'Polling Agent', '1000', 'B1C056');
INSERT INTO Staff VALUES ('S0550', 'Lakshmi', 'Das', '4177', 'Security Agent', '750', 'B2C056');
INSERT INTO Staff VALUES ('S0551', 'Rishi', 'Almeida', '4319', 'Polling Agent', '1000', 'B3C056');
INSERT INTO Staff VALUES ('S0552', 'Madhura', 'Bhardwaj', '4381', 'Security Agent', '750', 'B4C056');
INSERT INTO Staff VALUES ('S0553', 'Upkaar', 'Pujari', '4792', 'Polling Agent', '1000', 'B5C056');
INSERT INTO Staff VALUES ('S0554', 'Yashika', 'Pai', '5072', 'Security Agent', '750', 'B1C056');
INSERT INTO Staff VALUES ('S0555', 'Tejas', 'Dawangave', '5249', 'Polling Agent', '1000', 'B2C056');
INSERT INTO Staff VALUES ('S0556', 'Reyansh', 'Bal', '5461', 'Security Agent', '750', 'B3C056');
INSERT INTO Staff VALUES ('S0557', 'Lakshmi', 'Kumari', '5677', 'Polling Agent', '1000', 'B4C056');
INSERT INTO Staff VALUES ('S0558', 'Ronith', 'Andrade', '5714', 'Security Agent', '750', 'B5C056');
INSERT INTO Staff VALUES ('S0559', 'Pratima', 'Babu', '1932', 'Polling Agent', '1000', 'B1C057');
INSERT INTO Staff VALUES ('S0560', 'Chatura', 'Saha', '1949', 'Security Agent', '750', 'B2C057');
INSERT INTO Staff VALUES ('S0561', 'Bharathy', 'Kamath', '2164', 'Polling Agent', '1000', 'B3C057');
INSERT INTO Staff VALUES ('S0562', 'Yashika', 'Dawangave', '2514', 'Security Agent', '750', 'B4C057');
INSERT INTO Staff VALUES ('S0563', 'Viraj', 'Sheikh', '2540', 'Polling Agent', '1000', 'B5C057');
INSERT INTO Staff VALUES ('S0564', 'Naveen', 'Vernekar', '2573', 'Security Agent', '750', 'B1C057');
INSERT INTO Staff VALUES ('S0565', 'Pramila', 'Thampy', '2663', 'Polling Agent', '1000', 'B2C057');
INSERT INTO Staff VALUES ('S0566', 'Pranav', 'Gugale', '3136', 'Security Agent', '750', 'B3C057');
INSERT INTO Staff VALUES ('S0567', 'Nirav', 'Bhoja', '3309', 'Polling Agent', '1000', 'B4C057');
INSERT INTO Staff VALUES ('S0568', 'Shylaja', 'Acharya', '3433', 'Security Agent', '750', 'B5C057');
INSERT INTO Staff VALUES ('S0569', 'Anmol', 'Rao', '2273', 'Polling Agent', '1000', 'B1C058');
INSERT INTO Staff VALUES ('S0570', 'Idhant', 'Prabhu', '2283', 'Security Agent', '750', 'B2C058');
INSERT INTO Staff VALUES ('S0571', 'Ved', 'Kavser', '2396', 'Polling Agent', '1000', 'B3C058');
INSERT INTO Staff VALUES ('S0572', 'Asmee', 'Hiremath', '2440', 'Security Agent', '750', 'B4C058');
INSERT INTO Staff VALUES ('S0573', 'Rachit', 'Gupta', '2880', 'Polling Agent', '1000', 'B5C058');
INSERT INTO Staff VALUES ('S0574', 'Richa', 'Padmanabha', '3120', 'Security Agent', '750', 'B1C058');
INSERT INTO Staff VALUES ('S0575', 'Niva', 'Belligatti', '3201', 'Polling Agent', '1000', 'B2C058');
INSERT INTO Staff VALUES ('S0576', 'Dhiraj', 'Rajesh', '3428', 'Security Agent', '750', 'B3C058');
INSERT INTO Staff VALUES ('S0577', 'Kahaan', 'Dawangave', '3429', 'Polling Agent', '1000', 'B4C058');
INSERT INTO Staff VALUES ('S0578', 'Balhaar', 'Prabhu', '3593', 'Security Agent', '750', 'B5C058');
INSERT INTO Staff VALUES ('S0579', 'Gautam', 'Anchan', '1792', 'Polling Agent', '1000', 'B1C059');
INSERT INTO Staff VALUES ('S0580', 'Nikhitha', 'Nayak', '1860', 'Security Agent', '750', 'B2C059');
INSERT INTO Staff VALUES ('S0581', 'Meenakshi', 'Bhoja', '2088', 'Polling Agent', '1000', 'B3C059');
INSERT INTO Staff VALUES ('S0582', 'Kalpit', 'Gupta', '2373', 'Security Agent', '750', 'B4C059');
INSERT INTO Staff VALUES ('S0583', 'Shanaya', 'Shenoy', '2582', 'Polling Agent', '1000', 'B5C059');
INSERT INTO Staff VALUES ('S0584', 'Anjali', 'Namnaik', '2895', 'Security Agent', '750', 'B1C059');
INSERT INTO Staff VALUES ('S0585', 'Mishka', 'Kini', '3019', 'Polling Agent', '1000', 'B2C059');
INSERT INTO Staff VALUES ('S0586', 'Ramya', 'Bhoja', '3126', 'Security Agent', '750', 'B3C059');
INSERT INTO Staff VALUES ('S0587', 'Falan', 'Anand', '3229', 'Polling Agent', '1000', 'B4C059');
INSERT INTO Staff VALUES ('S0588', 'Pramitha', 'Mendonsa', '3314', 'Security Agent', '750', 'B5C059');
INSERT INTO Staff VALUES ('S0589', 'Madhura', 'Bhardwaj', '1723', 'Polling Agent', '1000', 'B1C060');
INSERT INTO Staff VALUES ('S0590', 'Ayaan', 'Kaur', '2248', 'Security Agent', '750', 'B2C060');
INSERT INTO Staff VALUES ('S0591', 'Fitan', 'Bansal', '2290', 'Polling Agent', '1000', 'B3C060');
INSERT INTO Staff VALUES ('S0592', 'Navami', 'Pujari', '2671', 'Security Agent', '750', 'B4C060');
INSERT INTO Staff VALUES ('S0593', 'Neha', 'Naik', '2896', 'Polling Agent', '1000', 'B5C060');
INSERT INTO Staff VALUES ('S0594', 'Akhila', 'Namnaik', '2923', 'Security Agent', '750', 'B1C060');
INSERT INTO Staff VALUES ('S0595', 'Raghav', 'Singh', '3206', 'Polling Agent', '1000', 'B2C060');
INSERT INTO Staff VALUES ('S0596', 'Krish', 'Namnaik', '3426', 'Security Agent', '750', 'B3C060');
INSERT INTO Staff VALUES ('S0597', 'Ryan', 'Bansal', '3456', 'Polling Agent', '1000', 'B4C060');
INSERT INTO Staff VALUES ('S0598', 'Arjun', 'Anchan', '3544', 'Security Agent', '750', 'B5C060');
INSERT INTO Staff VALUES ('S0599', 'Parth', 'Fernandes', '4173', 'Polling Agent', '1000', 'B1C061');
INSERT INTO Staff VALUES ('S0600', 'Pramitha', 'Chavare', '5044', 'Security Agent', '750', 'B2C061');
INSERT INTO Staff VALUES ('S0601', 'Akhila', 'Namnaik', '5193', 'Polling Agent', '1000', 'B3C061');
INSERT INTO Staff VALUES ('S0602', 'Nagraj', 'Shayana', '5196', 'Security Agent', '750', 'B4C061');
INSERT INTO Staff VALUES ('S0603', 'Rahul', 'Belligatti', '6246', 'Polling Agent', '1000', 'B5C061');
INSERT INTO Staff VALUES ('S0604', 'Saranya', 'Chavare', '6621', 'Security Agent', '750', 'B1C061');
INSERT INTO Staff VALUES ('S0605', 'Shivansh', 'Kouser', '6915', 'Polling Agent', '1000', 'B2C061');
INSERT INTO Staff VALUES ('S0606', 'Jeet', 'Banerjee', '7038', 'Security Agent', '750', 'B3C061');
INSERT INTO Staff VALUES ('S0607', 'Ajay', 'Gupta', '7267', 'Polling Agent', '1000', 'B4C061');
INSERT INTO Staff VALUES ('S0608', 'Richa', 'Anand', '7292', 'Security Agent', '750', 'B5C061');
INSERT INTO Staff VALUES ('S0609', 'Teerth', 'Gupta', '4908', 'Polling Agent', '1000', 'B1C062');
INSERT INTO Staff VALUES ('S0610', 'Devashree', 'Nand', '4917', 'Security Agent', '750', 'B2C062');
INSERT INTO Staff VALUES ('S0611', 'Baljiwan', 'Sullad', '5606', 'Polling Agent', '1000', 'B3C062');
INSERT INTO Staff VALUES ('S0612', 'Champak', 'Anchan', '5778', 'Security Agent', '750', 'B4C062');
INSERT INTO Staff VALUES ('S0613', 'Pratima', 'Dalvi', '6035', 'Polling Agent', '1000', 'B5C062');
INSERT INTO Staff VALUES ('S0614', 'Vaibhavi', 'Tipparti', '6110', 'Security Agent', '750', 'B1C062');
INSERT INTO Staff VALUES ('S0615', 'Krisha', 'Banerjee', '6467', 'Polling Agent', '1000', 'B2C062');
INSERT INTO Staff VALUES ('S0616', 'Sai', 'Gamskar', '6620', 'Security Agent', '750', 'B3C062');
INSERT INTO Staff VALUES ('S0617', 'Jagdish', 'Holla', '6775', 'Polling Agent', '1000', 'B4C062');
INSERT INTO Staff VALUES ('S0618', 'Pratima', 'Naik', '6936', 'Security Agent', '750', 'B5C062');
INSERT INTO Staff VALUES ('S0619', 'Akhil', 'Acharya', '1728', 'Polling Agent', '1000', 'B1C063');
INSERT INTO Staff VALUES ('S0620', 'Grishma', 'Namnaik', '1764', 'Security Agent', '750', 'B2C063');
INSERT INTO Staff VALUES ('S0621', 'Sita', 'Fernandes', '1790', 'Polling Agent', '1000', 'B3C063');
INSERT INTO Staff VALUES ('S0622', 'Ishita', 'Andrade', '1892', 'Security Agent', '750', 'B4C063');
INSERT INTO Staff VALUES ('S0623', 'Reyansh', 'Das', '1903', 'Polling Agent', '1000', 'B5C063');
INSERT INTO Staff VALUES ('S0624', 'Rakshitha', 'Shah', '1910', 'Security Agent', '750', 'B1C063');
INSERT INTO Staff VALUES ('S0625', 'Nayana', 'Chiplunkar', '2022', 'Polling Agent', '1000', 'B2C063');
INSERT INTO Staff VALUES ('S0626', 'Yatin', 'Tipparti', '2157', 'Security Agent', '750', 'B3C063');
INSERT INTO Staff VALUES ('S0627', 'Jagat', 'Dsouza', '2202', 'Polling Agent', '1000', 'B4C063');
INSERT INTO Staff VALUES ('S0628', 'Lohit', 'Moolya', '2260', 'Security Agent', '750', 'B5C063');
INSERT INTO Staff VALUES ('S0629', 'Anirudh', 'Saldanha', '1510', 'Polling Agent', '1000', 'B1C064');
INSERT INTO Staff VALUES ('S0630', 'Raunak', 'Shah', '1660', 'Security Agent', '750', 'B2C064');
INSERT INTO Staff VALUES ('S0631', 'Chandresh', 'Bhat', '1925', 'Polling Agent', '1000', 'B3C064');
INSERT INTO Staff VALUES ('S0632', 'Anaisha', 'Ramesh', '1939', 'Security Agent', '750', 'B4C064');
INSERT INTO Staff VALUES ('S0633', 'Amol', 'Holla', '1954', 'Polling Agent', '1000', 'B5C064');
INSERT INTO Staff VALUES ('S0634', 'Ishaan', 'Saha', '2077', 'Security Agent', '750', 'B1C064');
INSERT INTO Staff VALUES ('S0635', 'Aaradhya', 'Shroff', '2103', 'Polling Agent', '1000', 'B2C064');
INSERT INTO Staff VALUES ('S0636', 'Bachittar', 'Thampy', '2294', 'Security Agent', '750', 'B3C064');
INSERT INTO Staff VALUES ('S0637', 'Krishna', 'Kini', '2316', 'Polling Agent', '1000', 'B4C064');
INSERT INTO Staff VALUES ('S0638', 'Deepak', 'Kini', '2913', 'Security Agent', '750', 'B5C064');
INSERT INTO Staff VALUES ('S0639', 'Gunbir', 'Gamskar', '1239', 'Polling Agent', '1000', 'B1C065');
INSERT INTO Staff VALUES ('S0640', 'Ashwini', 'Moolya', '1244', 'Security Agent', '750', 'B2C065');
INSERT INTO Staff VALUES ('S0641', 'Trupti', 'Kaur', '1379', 'Polling Agent', '1000', 'B3C065');
INSERT INTO Staff VALUES ('S0642', 'Karan', 'Pujari', '1415', 'Security Agent', '750', 'B4C065');
INSERT INTO Staff VALUES ('S0643', 'Gopal', 'Pai', '1499', 'Polling Agent', '1000', 'B5C065');
INSERT INTO Staff VALUES ('S0644', 'Ajith', 'Nayak', '1559', 'Security Agent', '750', 'B1C065');
INSERT INTO Staff VALUES ('S0645', 'Rathi', 'Kumar', '1592', 'Polling Agent', '1000', 'B2C065');
INSERT INTO Staff VALUES ('S0646', 'Trupti', 'Patil', '1620', 'Security Agent', '750', 'B3C065');
INSERT INTO Staff VALUES ('S0647', 'Kalpit', 'Bhat', '1653', 'Polling Agent', '1000', 'B4C065');
INSERT INTO Staff VALUES ('S0648', 'Zayan', 'Singh', '1778', 'Security Agent', '750', 'B5C065');
INSERT INTO Staff VALUES ('S0649', 'Praneel', 'Naik', '1331', 'Polling Agent', '1000', 'B1C066');
INSERT INTO Staff VALUES ('S0650', 'Rebecca', 'Moolya', '1394', 'Security Agent', '750', 'B2C066');
INSERT INTO Staff VALUES ('S0651', 'Kairav', 'Prabhakaran', '1478', 'Polling Agent', '1000', 'B3C066');
INSERT INTO Staff VALUES ('S0652', 'Reyansh', 'Singh', '1542', 'Security Agent', '750', 'B4C066');
INSERT INTO Staff VALUES ('S0653', 'Naveen', 'Shah', '1551', 'Polling Agent', '1000', 'B5C066');
INSERT INTO Staff VALUES ('S0654', 'Sangeetha', 'Andrade', '1726', 'Security Agent', '750', 'B1C066');
INSERT INTO Staff VALUES ('S0655', 'Aryan', 'Kini', '1754', 'Polling Agent', '1000', 'B2C066');
INSERT INTO Staff VALUES ('S0656', 'Monisha', 'Gupta', '1787', 'Security Agent', '750', 'B3C066');
INSERT INTO Staff VALUES ('S0657', 'Sharanya', 'Tipparti', '1864', 'Polling Agent', '1000', 'B4C066');
INSERT INTO Staff VALUES ('S0658', 'Ramya', 'Chatterjee', '1909', 'Security Agent', '750', 'B5C066');
INSERT INTO Staff VALUES ('S0659', 'Dharun', 'Vernekar', '1231', 'Polling Agent', '1000', 'B1C067');
INSERT INTO Staff VALUES ('S0660', 'Archana', 'Bal', '1279', 'Security Agent', '750', 'B2C067');
INSERT INTO Staff VALUES ('S0661', 'Vishishta', 'Vernekar', '1294', 'Polling Agent', '1000', 'B3C067');
INSERT INTO Staff VALUES ('S0662', 'Asha', 'Pujari', '1332', 'Security Agent', '750', 'B4C067');
INSERT INTO Staff VALUES ('S0663', 'Nagesh', 'Andrade', '1382', 'Polling Agent', '1000', 'B5C067');
INSERT INTO Staff VALUES ('S0664', 'Aashish', 'Bhat', '1473', 'Security Agent', '750', 'B1C067');
INSERT INTO Staff VALUES ('S0665', 'Gaurav', 'Babu', '1477', 'Polling Agent', '1000', 'B2C067');
INSERT INTO Staff VALUES ('S0666', 'Rushil', 'Bharanya', '1522', 'Security Agent', '750', 'B3C067');
INSERT INTO Staff VALUES ('S0667', 'Adah', 'Singh', '1597', 'Polling Agent', '1000', 'B4C067');
INSERT INTO Staff VALUES ('S0668', 'Suchita', 'Dsouza', '1663', 'Security Agent', '750', 'B5C067');
INSERT INTO Staff VALUES ('S0669', 'Neeti', 'Dhamdhame', '1097', 'Polling Agent', '1000', 'B1C068');
INSERT INTO Staff VALUES ('S0670', 'Falan', 'Mugeraya', '1109', 'Security Agent', '750', 'B2C068');
INSERT INTO Staff VALUES ('S0671', 'Balvan', 'Thampy', '1114', 'Polling Agent', '1000', 'B3C068');
INSERT INTO Staff VALUES ('S0672', 'Shivansh', 'Rao', '1115', 'Security Agent', '750', 'B4C068');
INSERT INTO Staff VALUES ('S0673', 'Vishishta', 'Kumari', '1198', 'Polling Agent', '1000', 'B5C068');
INSERT INTO Staff VALUES ('S0674', 'Ayaan', 'Shayana', '1203', 'Security Agent', '750', 'B1C068');
INSERT INTO Staff VALUES ('S0675', 'Jagat', 'Anand', '1242', 'Polling Agent', '1000', 'B2C068');
INSERT INTO Staff VALUES ('S0676', 'Yash', 'Moolya', '1256', 'Security Agent', '750', 'B3C068');
INSERT INTO Staff VALUES ('S0677', 'Pahal', 'Gupta', '1315', 'Polling Agent', '1000', 'B4C068');
INSERT INTO Staff VALUES ('S0678', 'Mishka', 'Singh', '1320', 'Security Agent', '750', 'B5C068');
INSERT INTO Staff VALUES ('S0679', 'Shilpa', 'Mardhekar', '1359', 'Polling Agent', '1000', 'B1C069');
INSERT INTO Staff VALUES ('S0680', 'Ajith', 'Nagane', '1387', 'Security Agent', '750', 'B2C069');
INSERT INTO Staff VALUES ('S0681', 'Anusree', 'Ramesh', '1454', 'Polling Agent', '1000', 'B3C069');
INSERT INTO Staff VALUES ('S0682', 'Dharmesh', 'Dalvi', '1532', 'Security Agent', '750', 'B4C069');
INSERT INTO Staff VALUES ('S0683', 'Gunbir', 'Bansal', '1558', 'Polling Agent', '1000', 'B5C069');
INSERT INTO Staff VALUES ('S0684', 'Anupama', 'Dhamdhame', '1566', 'Security Agent', '750', 'B1C069');
INSERT INTO Staff VALUES ('S0685', 'Prathiksha', 'Raval', '1571', 'Polling Agent', '1000', 'B2C069');
INSERT INTO Staff VALUES ('S0686', 'Vaishnavi', 'Taj', '1636', 'Security Agent', '750', 'B3C069');
INSERT INTO Staff VALUES ('S0687', 'Drishti', 'Shroff', '1705', 'Polling Agent', '1000', 'B4C069');
INSERT INTO Staff VALUES ('S0688', 'Falan', 'Bal', '1709', 'Security Agent', '750', 'B5C069');
INSERT INTO Staff VALUES ('S0689', 'Harshitha', 'Chatterjee', '2334', 'Polling Agent', '1000', 'B1C070');
INSERT INTO Staff VALUES ('S0690', 'Karan', 'Anchan', '2811', 'Security Agent', '750', 'B2C070');
INSERT INTO Staff VALUES ('S0691', 'Abhijith', 'Chatterjee', '2950', 'Polling Agent', '1000', 'B3C070');
INSERT INTO Staff VALUES ('S0692', 'Omkaar', 'Kumar', '3190', 'Security Agent', '750', 'B4C070');
INSERT INTO Staff VALUES ('S0693', 'Kalpit', 'Adiga', '3460', 'Polling Agent', '1000', 'B5C070');
INSERT INTO Staff VALUES ('S0694', 'Daksh', 'Sheikh', '3611', 'Security Agent', '750', 'B1C070');
INSERT INTO Staff VALUES ('S0695', 'Darpan', 'Saldanha', '3910', 'Polling Agent', '1000', 'B2C070');
INSERT INTO Staff VALUES ('S0696', 'Avi', 'Dalvi', '4170', 'Security Agent', '750', 'B3C070');
INSERT INTO Staff VALUES ('S0697', 'Neeti', 'Babu', '4204', 'Polling Agent', '1000', 'B4C070');
INSERT INTO Staff VALUES ('S0698', 'Amit', 'Chavare', '4430', 'Security Agent', '750', 'B5C070');
INSERT INTO Staff VALUES ('S0699', 'Dharmesh', 'Chatterjee', '1548', 'Polling Agent', '1000', 'B1C071');
INSERT INTO Staff VALUES ('S0700', 'Vibha', 'Anand', '1687', 'Security Agent', '750', 'B2C071');
INSERT INTO Staff VALUES ('S0701', 'Taara', 'Dsouza', '1691', 'Polling Agent', '1000', 'B3C071');
INSERT INTO Staff VALUES ('S0702', 'Ananya', 'Kumar', '1826', 'Security Agent', '750', 'B4C071');
INSERT INTO Staff VALUES ('S0703', 'Hitesh', 'Bhoja', '1997', 'Polling Agent', '1000', 'B5C071');
INSERT INTO Staff VALUES ('S0704', 'Anirudh', 'Mugeraya', '2026', 'Security Agent', '750', 'B1C071');
INSERT INTO Staff VALUES ('S0705', 'Sushmitha', 'Dawangave', '2265', 'Polling Agent', '1000', 'B2C071');
INSERT INTO Staff VALUES ('S0706', 'Abhishek', 'Andrade', '2519', 'Security Agent', '750', 'B3C071');
INSERT INTO Staff VALUES ('S0707', 'Girindra', 'Anand', '2640', 'Polling Agent', '1000', 'B4C071');
INSERT INTO Staff VALUES ('S0708', 'Bhoomika', 'Adiga', '2732', 'Security Agent', '750', 'B5C071');
INSERT INTO Staff VALUES ('S0709', 'Rishi', 'Prajapati', '2815', 'Polling Agent', '1000', 'B1C072');
INSERT INTO Staff VALUES ('S0710', 'Manisha', 'Fernandes', '2816', 'Security Agent', '750', 'B2C072');
INSERT INTO Staff VALUES ('S0711', 'Chanakya', 'Salian', '2924', 'Polling Agent', '1000', 'B3C072');
INSERT INTO Staff VALUES ('S0712', 'Gopika', 'Nand', '3261', 'Security Agent', '750', 'B4C072');
INSERT INTO Staff VALUES ('S0713', 'Shona', 'Jain', '3990', 'Polling Agent', '1000', 'B5C072');
